"Entrez","ENSG","trt","untrt","baseMean","log2FoldChange","pvalue","padj","Symbol"
"101929402","ENSG00000246339",6.825,6.733,6.779,3.387,9.955e-61,8.779e-57,"EXTL3-AS1"
"125150","ENSG00000214941",8.062,8.3,8.181,3.065,2.435e-54,1.432e-50,"ZSWIM7"
"51661","ENSG00000079150",9.47,9.779,9.625,-1.064,3.957e-49,1.745e-45,"FKBP7"
"57828","ENSG00000099338",6.916,6.664,6.79,1.46,1.846e-45,5.427e-42,"CATSPERG"
"51175","ENSG00000074935",8.373,8.855,8.614,3.839,3.111e-44,7.839e-41,"TUBE1"
"79816","ENSG00000104953",6.753,6.659,6.706,1.437,5.248e-44,1.157e-40,"TLE6"
"286530","ENSG00000182162",6.407,6.387,6.397,-2.484,1.321e-43,2.588e-40,"P2RY8"
"890","ENSG00000145386",8.567,7.951,8.259,3.959,2.128e-41,3.412e-38,"CCNA2"
"9929","ENSG00000100221",10.554,10.218,10.386,6.415,9.071e-41,1.333e-37,"JOSD1"
"6132","ENSG00000161016",13.871,13.86,13.866,2.006,1.45e-38,1.968e-35,"RPL8"
"763","ENSG00000174990",6.805,6.673,6.739,2.223,3.357e-38,4.228e-35,"CA5A"
"10955","ENSG00000132824",12.963,12.578,12.771,2.206,1.897e-35,2.23e-32,"SERINC3"
"84190","ENSG00000127720",7.674,7.706,7.69,3.24,2.713e-35,2.991e-32,"METTL25"
"226","ENSG00000149925",14.024,14.148,14.086,1.047,2.62e-34,2.718e-31,"ALDOA"
"284402","ENSG00000205209",6.588,6.647,6.617,-1.871,6.226e-33,5.779e-30,"SCGB2B2"
"11066","ENSG00000184209",8.369,8.289,8.329,2.855,2.539e-29,2.239e-26,"SNRNP35"
"11244","ENSG00000165156",10.223,10.48,10.351,1.012,5.093e-29,4.083e-26,"ZHX1"
"26040","ENSG00000152217",10.474,10.619,10.547,1.832,5.022e-28,3.69e-25,"SETBP1"
"6238","ENSG00000125844",13.537,13.498,13.517,-2.516,6.608e-28,4.559e-25,"RRBP1"
"693201","ENSG00000208028",6.337,6.432,6.384,4.399,6.72e-28,4.559e-25,"MIR616"
"5820","ENSG00000249859",7.459,7.344,7.401,-1.332,1.236e-27,8.072e-25,"PVT1"
"28957","ENSG00000147586",8.095,8.147,8.121,1.147,2.338e-27,1.473e-24,"MRPS28"
"10054","ENSG00000126261",10.942,10.731,10.837,-3.569,2.64e-27,1.605e-24,"UBA2"
"153020","ENSG00000138670",6.513,6.314,6.413,2.913,3.011e-27,1.77e-24,"RASGEF1B"
"56675","ENSG00000175352",8.216,8.077,8.146,1.559,2.181e-26,1.241e-23,"NRIP3"
"23245","ENSG00000148219",8.031,8.449,8.24,2.461,2.48e-26,1.367e-23,"ASTN2"
