"Symbol","ENSG","trt","untrt","baseMean","log2FoldChange","pvalue","padj","Entrez"
"AC025437.2","ENSG00000253424",6.31,6.379,6.345,4.546,1.219e-91,2.149e-87,""
"EXTL3-AS1","ENSG00000246339",6.825,6.733,6.779,3.387,9.955e-61,8.779e-57,"101929402"
"ZSWIM7","ENSG00000214941",8.062,8.3,8.181,3.065,2.435e-54,1.432e-50,"125150"
"FKBP7","ENSG00000079150",9.47,9.779,9.625,-1.064,3.957e-49,1.745e-45,"51661"
"LRRC37A4P","ENSG00000214425",9.001,9.099,9.05,2.975,1.93e-48,6.807e-45,""
"CATSPERG","ENSG00000099338",6.916,6.664,6.79,1.46,1.846e-45,5.427e-42,"57828"
"TUBE1","ENSG00000074935",8.373,8.855,8.614,3.839,3.111e-44,7.839e-41,"51175"
"TLE6","ENSG00000104953",6.753,6.659,6.706,1.437,5.248e-44,1.157e-40,"79816"
"P2RY8","ENSG00000182162",6.407,6.387,6.397,-2.484,1.321e-43,2.588e-40,"286530"
"AC114488.2","ENSG00000235790",6.659,6.745,6.702,1.305,2.84e-42,5.008e-39,""
"CCNA2","ENSG00000145386",8.567,7.951,8.259,3.959,2.128e-41,3.412e-38,"890"
"JOSD1","ENSG00000100221",10.554,10.218,10.386,6.415,9.071e-41,1.333e-37,"9929"
"RPL8","ENSG00000161016",13.871,13.86,13.866,2.006,1.45e-38,1.968e-35,"6132"
"CA5A","ENSG00000174990",6.805,6.673,6.739,2.223,3.357e-38,4.228e-35,"763"
"SERINC3","ENSG00000132824",12.963,12.578,12.771,2.206,1.897e-35,2.23e-32,"10955"
"METTL25","ENSG00000127720",7.674,7.706,7.69,3.24,2.713e-35,2.991e-32,"84190"
"ALDOA","ENSG00000149925",14.024,14.148,14.086,1.047,2.62e-34,2.718e-31,"226"
"AC016396.2","ENSG00000261076",6.331,6.436,6.383,-2.375,9.118e-34,8.934e-31,""
"SCGB2B2","ENSG00000205209",6.588,6.647,6.617,-1.871,6.226e-33,5.779e-30,"284402"
"SNRNP35","ENSG00000184209",8.369,8.289,8.329,2.855,2.539e-29,2.239e-26,"11066"
"AC024451.2","ENSG00000253330",6.357,6.389,6.373,-1.794,3.835e-29,3.22e-26,""
"ZHX1","ENSG00000165156",10.223,10.48,10.351,1.012,5.093e-29,4.083e-26,"11244"
"AC112128.1","ENSG00000285943",7.546,7.906,7.726,3.038,4.012e-28,3.076e-25,""
"SETBP1","ENSG00000152217",10.474,10.619,10.547,1.832,5.022e-28,3.69e-25,"26040"
"RRBP1","ENSG00000125844",13.537,13.498,13.517,-2.516,6.608e-28,4.559e-25,"6238"
"MIR616","ENSG00000208028",6.337,6.432,6.384,4.399,6.72e-28,4.559e-25,"693201"
"PVT1","ENSG00000249859",7.459,7.344,7.401,-1.332,1.236e-27,8.072e-25,"5820"
"MRPS28","ENSG00000147586",8.095,8.147,8.121,1.147,2.338e-27,1.473e-24,"28957"
"UBA2","ENSG00000126261",10.942,10.731,10.837,-3.569,2.64e-27,1.605e-24,"10054"
"RASGEF1B","ENSG00000138670",6.513,6.314,6.413,2.913,3.011e-27,1.77e-24,"153020"
"NRIP3","ENSG00000175352",8.216,8.077,8.146,1.559,2.181e-26,1.241e-23,"56675"
"ASTN2","ENSG00000148219",8.031,8.449,8.24,2.461,2.48e-26,1.367e-23,"23245"
"ATP5F1AP10","ENSG00000277297",6.224,6.38,6.302,4.596,3.172e-26,1.695e-23,""
"PDXDC1","ENSG00000179889",10.618,10.727,10.672,3.197,3.727e-25,1.933e-22,"102724985"
